minute,value,match_id
19.0,3,12812998
20.0,-2,12812998
21.0,-95,12812998
22.0,-100,12812998
23.0,-70,12812998
24.0,-45,12812998
25.0,-30,12812998
26.0,-14,12812998
27.0,-7,12812998
28.0,-3,12812998
29.0,3,12812998
30.0,24,12812998
31.0,17,12812998
32.0,13,12812998
33.0,33,12812998
34.0,22,12812998
35.0,15,12812998
36.0,35,12812998
37.0,24,12812998
38.0,42,12812998
39.0,44,12812998
40.0,21,12812998
41.0,6,12812998
42.0,-8,12812998
43.0,-9,12812998
44.0,14,12812998
45.0,62,12812998
45.5,-34,12812998
46.0,-9,12812998
47.0,9,12812998
48.0,5,12812998
49.0,-10,12812998
50.0,-38,12812998
51.0,-38,12812998
52.0,-73,12812998
53.0,-74,12812998
54.0,-48,12812998
55.0,-33,12812998
56.0,-22,12812998
57.0,-20,12812998
58.0,-38,12812998
59.0,-31,12812998
60.0,-32,12812998
61.0,-39,12812998
62.0,-66,12812998
63.0,-37,12812998
64.0,-54,12812998
65.0,-23,12812998
66.0,-20,12812998
67.0,-13,12812998
68.0,-19,12812998
69.0,-13,12812998
70.0,-13,12812998
71.0,-11,12812998
72.0,32,12812998
73.0,12,12812998
74.0,6,12812998
75.0,-14,12812998
76.0,-3,12812998
77.0,-14,12812998
78.0,-60,12812998
79.0,-47,12812998
80.0,-32,12812998
81.0,-31,12812998
82.0,-24,12812998
83.0,-25,12812998
84.0,-27,12812998
85.0,-21,12812998
86.0,-21,12812998
87.0,-14,12812998
88.0,-5,12812998
89.0,24,12812998
90.0,7,12812998
90.5,14,12812998
91.0,1,12812998
92.0,8,12812998
93.0,6,12812998
94.0,26,12812998
95.0,19,12812998
96.0,3,12812998
97.0,-15,12812998
98.0,-17,12812998
99.0,-60,12812998
100.0,-45,12812998
101.0,-35,12812998
102.0,-37,12812998
103.0,-32,12812998
104.0,-33,12812998
105.0,-20,12812998
106.0,-11,12812998
107.0,-19,12812998
108.0,-32,12812998
109.0,-31,12812998
110.0,-42,12812998
111.0,-27,12812998
112.0,-21,12812998
113.0,-15,12812998
114.0,-12,12812998
115.0,-13,12812998
116.0,-28,12812998
117.0,-27,12812998
118.0,-30,12812998
119.0,-7,12812998
120.0,4,12812998
120.5,3,12812998
1.0,-6,12812989
2.0,-10,12812989
3.0,-33,12812989
4.0,-37,12812989
5.0,-33,12812989
6.0,-27,12812989
7.0,-7,12812989
8.0,55,12812989
9.0,71,12812989
10.0,22,12812989
11.0,15,12812989
12.0,21,12812989
13.0,21,12812989
14.0,15,12812989
15.0,7,12812989
16.0,2,12812989
17.0,34,12812989
18.0,16,12812989
19.0,7,12812989
20.0,10,12812989
21.0,32,12812989
22.0,2,12812989
